area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,19-Dec,Atrai,2 BHK,Coomee ,1056,2,1,26.04666667
Plot  Area,Ready To Move,Gournadi,4 Bedroom,Theanmp,2600,5,3,80
Built-up  Area,Ready To Move,Alfadanga,3 BHK,,1440,2,3,41.33333333
Super built-up  Area,Ready To Move,Fakirhat,3 BHK,Soiewre,1521,3,1,63.33333333
Super built-up  Area,Ready To Move,Banshkhali,2 BHK,,1200,2,1,34
Super built-up  Area,Ready To Move,Abhaynagar,2 BHK,DuenaTa,1170,2,1,25.33333333
Super built-up  Area,18-May,Chougachha,4 BHK,Jaades ,2732,4,,136
Super built-up  Area,Ready To Move,Atwari,4 BHK,Brway G,3300,4,,400
Super built-up  Area,Ready To Move,Amtali,3 BHK,,1310,3,1,42.16666667
Plot  Area,Ready To Move,Laksam,6 Bedroom,,1020,6,,246.6666667
Super built-up  Area,18-Feb,Abhaynagar,3 BHK,,1800,2,2,46.66666667
Plot  Area,Ready To Move,Abhaynagar,4 Bedroom,Prrry M,2785,5,3,196.6666667
Super built-up  Area,Ready To Move,Ashuganj,2 BHK,Shncyes,1000,2,1,25.33333333
Built-up  Area,Ready To Move,Bhangura,2 BHK,,1100,2,2,26.66666667
Plot  Area,Ready To Move,Bagher Para,3 Bedroom,Skityer,2250,3,2,98.66666667
Super built-up  Area,Ready To Move,Bhairab,2 BHK,PrntaEn,1175,2,2,49
Super built-up  Area,Ready To Move,Betagi,3 BHK,Prityel,1180,3,2,32
Super built-up  Area,Ready To Move,Anwara,3 BHK,GrrvaGr,1540,3,3,40
Super built-up  Area,Ready To Move,Lalmai,3 BHK,PeBayle,2770,4,2,193.3333333
Super built-up  Area,Ready To Move,Lalmohan,2 BHK,,1100,2,2,32
Built-up  Area,Ready To Move,Balaganj,1 BHK,,600,1,1,10
Super built-up  Area,19-Dec,Gabtali,3 BHK,She 2rk,1755,3,1,81.33333333
Plot  Area,Ready To Move,Ajmiriganj,4 Bedroom,Soitya ,2800,5,2,253.3333333
Super built-up  Area,Ready To Move,Babuganj,3 BHK,,1767,3,1,68.66666667
Super built-up  Area,18-Nov,Lama,1 RK,Bhe 2ko,510,1,0,16.83333333
Super built-up  Area,18-May,Langadu,3 BHK,,1250,3,2,37.33333333
Super built-up  Area,Ready To Move,Aditmari,2 BHK,Itelaa ,660,1,1,15.4
Built-up  Area,20-Dec,Abhaynagar,3 BHK,,1610,3,2,54
Super built-up  Area,17-Oct,Bhaluka,2 BHK,ViistLa,1151,2,2,32.51333333
Super built-up  Area,Ready To Move,Aditmari,3 BHK,KBityo ,1025,2,1,31.33333333
